page_name,visits,url
Trump assassination attempt moves us closer to Civil War and division that will invite enemy attacks,18,https://collapsesurvivor.com/trump-assassination-attempt-moves-us-closer-to-civil-war-and-division-that-will-invite-enemy-attacks/
Deadly H5N1 Virus moving Closer to Human-to-Human Transmissibility,17,https://collapsesurvivor.com/deadly-h5n1-virus-moving-closer-to-human-to-human-transmissibility/
Mexico reports 1.4 million people from 177 countries traveled to Mexico in first 5 months of 2024 to cross illegally into the U.S.,16,https://collapsesurvivor.com/mexico-reports-1-4-million-people-from-177-countries-traveled-to-mexico-in-first-5-months-of-2024-to-cross-illegally-into-the-u-s/
"First U.S. H5N1 case without animal exposure. H5N1 continues natural (or bioengineered) mutations, moving closer to a disastrous pandemic.  But Center for Disease Control repeats its  calming “low risk” assessment  lie.",15,https://collapsesurvivor.com/first-u-s-h5n1-case/
Most companies will not survive a bad collapse.  How can you prepare your company for survival—or adjust your investments to reduce losses?,15,https://collapsesurvivor.com/most-companies-will-not-survive-a-bad-collapse-how-can-you-prepare-your-company-for-survival-or-adjust-your-investments-to-reduce-losses/
"When buying ammunition, use AmmoSeek.com to find best prices.",14,https://collapsesurvivor.com/when-buying-ammunition-use-ammoseek-com-to-find-best-prices/
The “Probability of Collapse” model was just updated  -- now estimates a 16 to 57% annual likelihood of a collapse.,13,https://collapsesurvivor.com/the-probability-of-collapse-model-was-just-updated-now-estimates-a-16-to-57-annual-likelihood-of-a-collapse/
"Center for Disease Control just reported that H5N1 has mutated again, in a human—we may be close to human-to-human transmissible version of this 60% lethal virus and a Big Collapse",12,https://collapsesurvivor.com/center-for-disease-control-just-reported-that-h5n1-has-mutated-again-in-a-human-we-may-be-close-to-human-to-human-transmissible-version-of-this-60-lethal-virus-and-a-big-collapse/
Legal Disclaimer,11,https://collapsesurvivor.com/legal-disclaimer/
What is your backup Communications Plan?  Family Rendezvous Plan?,11,https://collapsesurvivor.com/what-is-your-backup-communications-plan-family-rendezvous-plan/
"Probable  2nd Trump Assasination Attempt Failed, but Gunman was close.  Need to be prepared for an unexpected sudden surge in campaign violence triggered by an assassination or other event  that could be exploited for looting, home invasions.",10,https://collapsesurvivor.com/probable-2nd-trump-assasination-attempt-failed-but-gunman-was-close-need-to-be-prepared-for-an-unexpected-sudden-surge-in-campaign-violence-triggered-by-an-assassination-or-other-ev/
"Risk of Middle East War, and escalation to wider terrorist attacks and war, is Rising",8,https://collapsesurvivor.com/risk-of-middle-east-war-and-escalation-to-wider-terrorist-attacks-and-war-is-rising/
Chinese and Russian strategic nuclear bombers flying together off U.S. coast a clear warning of nuclear cooperation and growing risk/likelihood of Nuclear War,7,https://collapsesurvivor.com/chinese-and-russian-strategic-nuclear-bombers-flying-together-off-u-s-coast-a-clear-warning-of-nuclear-cooperation-and-growing-risk-likelihood-of-nuclear-war/
NATO is pushing Russia towards Nuclear War:  The Russian nuclear threat and the probability of nuclear war in Europe has just escalated ,5,https://collapsesurvivor.com/nato-is-pushing-russia-towards-nuclear-war-the-russian-nuclear-threat-and-the-probability-of-nuclear-war-in-europe-has-just-escalated/
Grid Down Power Up - A fantastic documentary,5,https://collapsesurvivor.com/grid-down-power-up-a-fantastic-documentary/
Former Director of the Center for Disease Control defies the current CDC claim that H5N1 is “low risk” to humans and warns that an H5N1 pandemic is coming.,4,https://collapsesurvivor.com/former-director-of-the-center-for-disease-control-defies-the-current-cdc-claim-that-h5n1-is-low-risk-to-humans-and-warns-that-an-h5n1-pandemic-is-coming/
AI is not just a future threat of bad computers and robots—AI is being used now by bad people to develop better means to kill and must be stopped NOW,4,https://collapsesurvivor.com/ai-is-not-just-a-future-threat-of-bad-computers-and-robots-ai-is-being-used-now-by-bad-people-to-develop-better-means-to-kill-and-must-be-stopped-now/
Human-to-Human Transmission of Lethal Monkeypox Virus in the Democratic Republic of the Congo is Spreading to Neighboring Countries,3,https://collapsesurvivor.com/human-to-human-transmission-of-lethal-monkeypox-virus-in-the-democratic-republic-of-the-congo-is-spreading-to-neighboring-countries/
Emerging Threats Spark Surge in Prepper Population ,3,https://collapsesurvivor.com/emerging-threats-spark-surge-in-prepper-population/
Bulletin of Atomic Scientists issues another H5N1 Pandemic Warning,2,https://collapsesurvivor.com/bulletin-of-atomic-scientists-issues-another-h5n1-pandemic-warning/
